ID,x,y,rotation_angle
26,40.55000,6.45000,0
27,78.55000,6.45000,0
19,21.65000,18.25000,0
20,40.55000,25.55000,0
21,59.55000,18.25000,0
22,78.55000,25.55000,0
23,97.55000,18.25000,0
12,21.65000,51.45000,0
13,40.55000,43.65000,0
14,59.55000,51.45000,0
15,78.55000,43.65000,0
16,97.55000,51.45000,0
8,40.55000,62.75000,0
9,78.55000,62.75000,0
